NodeIndex,PredictedRiskScore
617,1.2422538
618,1.2392448
619,1.236417
620,1.2337633
621,1.2310729
622,1.2281473
623,1.2250445
624,1.2217854
625,1.2183204
626,1.214533
627,1.2106539
628,1.2072523
629,1.2048796
630,1.2037369
631,1.2031283
632,1.20232
633,1.2006989
634,1.1986887
635,1.196368
636,1.1937326
637,1.190709
638,1.1875392
639,1.1846529
640,1.1831213
641,1.1840591
642,1.1882572
643,1.1948433
644,1.2028482
645,1.2115204
646,1.2210171
647,1.231931
648,1.2432562
649,1.2527626
650,1.2574284
651,1.2582264
652,1.2579825
653,1.2602855
654,1.2656572
655,1.2738649
656,1.2837305
657,1.2942841
658,1.3036644
659,1.3100872
660,1.3121345
661,1.3104395
662,1.3069891
663,1.3040221
664,1.302917
665,1.3040289
666,1.3073202
667,1.3120828
668,1.3178122
669,1.3244925
670,1.3321496
671,1.3409675
672,1.3508891
673,1.361839
674,1.3733088
675,1.3846344
676,1.3953229
677,1.4042039
678,1.4102867
679,1.4128634
680,1.4129235
681,1.4112552
682,1.4085795
683,1.4049978
684,1.4007237
685,1.3959029
686,1.3906152
687,1.3851192
688,1.37973
689,1.3746488
690,1.3698646
691,1.3653187
692,1.3609949
693,1.3568922
694,1.3530109
695,1.3494558
696,1.3462129
697,1.3423606
698,1.3354471
699,1.3229859
700,1.3042628
701,1.2811992
702,1.2563574
703,1.231459
704,1.2068834
705,1.1823521
706,1.1574988
707,1.133009
708,1.1096439
709,1.0877851
710,1.0658801
711,1.0423408
712,1.0168976
713,0.99107254
714,0.96645105
715,0.94317293
716,0.9199753
717,0.89654666
718,0.8733293
719,0.85216343
