NodeIndex,PredictedRiskScore
2067,1.951194
2068,1.953639
2069,1.9570472
2070,1.9608033
2071,1.964283
2072,1.9670074
2073,1.9688628
2074,1.9694049
2075,1.9679809
2076,1.9637377
2077,1.9570199
2078,1.9483309
2079,1.9386797
2080,1.9283901
2081,1.9180381
2082,1.9076217
2083,1.8969088
2084,1.8856632
2085,1.8739789
2086,1.8619822
2087,1.8497887
2088,1.8373864
2089,1.8256172
2090,1.8150388
2091,1.8059318
2092,1.7975984
2093,1.7894248
2094,1.7811766
2095,1.7724526
2096,1.7628455
2097,1.7524989
2098,1.7425086
2099,1.7340438
2100,1.7270482
2101,1.7210193
2102,1.7156613
2103,1.7112169
2104,1.7078724
2105,1.7053792
2106,1.7032197
2107,1.700486
2108,1.6962109
2109,1.6893677
2110,1.6796331
2111,1.666528
2112,1.65029
2113,1.6308734
2114,1.609087
2115,1.5858991
2116,1.5617087
2117,1.5362949
2118,1.508909
2119,1.4800223
2120,1.4507716
2121,1.4222096
2122,1.3950845
2123,1.369966
2124,1.3473644
2125,1.3270001
2126,1.3091772
2127,1.2945192
2128,1.2840881
2129,1.2776332
2130,1.2745838
2131,1.2725462
2132,1.2703091
2133,1.2694966
2134,1.2754097
2135,1.2909119
2136,1.313482
2137,1.3387485
2138,1.3640203
2139,1.389308
2140,1.4146214
2141,1.4399211
2142,1.4649079
2143,1.4892704
2144,1.5127829
2145,1.5357304
2146,1.5584111
2147,1.5812203
2148,1.6049395
2149,1.630346
2150,1.6582117
2151,1.6883445
2152,1.7206125
2153,1.7545292
2154,1.7896862
2155,1.8255506
2156,1.8622068
2157,1.8999455
2158,1.9387951
2159,1.9770396
2160,2.0123208
2161,2.0427115
2162,2.0678554
2163,2.0884914
2164,2.105485
2165,2.120064
2166,2.1328557
2167,2.144098
2168,2.1533797
2169,2.1609006
2170,2.1673937
2171,2.173963
2172,2.180064
2173,2.184499
2174,2.1859875
2175,2.1852236
2176,2.1829576
2177,2.179189
2178,2.1736574
2179,2.1663432
2180,2.1577091
2181,2.1475658
2182,2.1359708
2183,2.1231093
2184,2.109324
2185,2.0947347
2186,2.0795302
2187,2.0641084
2188,2.0487628
2189,2.033864
2190,2.0196548
2191,2.006529
2192,1.9946058
2193,1.9839771
2194,1.9745288
2195,1.9658927
2196,1.9569626
2197,1.9464817
2198,1.93316
2199,1.9171879
2200,1.8995318
2201,1.8822002
2202,1.8661408
2203,1.8520663
2204,1.8397512
2205,1.8297436
2206,1.8220336
2207,1.8168014
2208,1.8133764
2209,1.8109467
2210,1.808742
2211,1.8061917
2212,1.8045945
2213,1.8054886
2214,1.8105588
2215,1.8188114
2216,1.828748
2217,1.8373885
2218,1.8422962
2219,1.8414474
2220,1.8358132
